natuurgebiednummer;natuurgebiednaam;oppervlakte;centerpunt_x;centerpunt_y
1;"Dollard";"3845.57.45";272960;588899
2;"Klein Bollenbult";"0.03.90";237314;572476
3;"Harense Wildernis";"12.42.10";;
4;"Noordlaarderbos";"118.60.47";;
5;"Westerbroek";"127.03.85";;
6;"Vijftig Bunder";"75.20.10";;
7;"de Zevende Hemel";"0.00.00";;
8;"Elsburger Onland";"11.13.30";;
9;"Kluivingsbos";"15.39.73";;
10;"Peizermaden";"526.96.80";;
11;"De Braak";"29.45.13";;
12;"Vennebroek";"17.35.35";;
13;"Friese Veen";"78.44.53";234341;575165
14;"Polder het Oosterland";"10.43.20";;
15;"Polder Lappenvoort";"71.88.04";235519;573627
16;"Dal van de Ruiten A";"391.08.96";;
17;"Fochteloerveen";"2593.11.10";223782;556646
18;"Haulerpolder";"42.70.69";217434;560356
19;"Norger Esdorpenlandschap";"764.14.45";228182;564681
20;"Steenbergerveld";"76.21.88";;
21;"Marke van Een";"7.80.40";;
22;"Bantpolder";"112.98.02";205302;601716
23;"Bochtjesplaat";"62.74.59";;
24;"Oudemirdumerklif";"26.47.90";;
25;"Skrok";"70.59.25";;
26;"Skrins";"62.12.10";168864;569534
27;"Filenspolder";"28.22.40";;
28;"Westerhitzumerbos";"1.15.10";;
29;"Griend";"100.00.00";;
30;"Landerumerkooi";"1.55.10";;
31;"Rengersmiede";"3.00.40";;
32;"Terr. bij Dokkum *";"18.59.10";;
33;"Nationaal Park Schiermonnikoog";"1888.50.93";;
34;"De Klencke";"441.88.40";246093;530966
35;"Baarwelsleek";"1.33.65";;
36;"Terr. bij Westerbork *";"10.26.87";;
37;"Hiemstrastate";"57.24.48";;
38;"Mantingerbos en -weiden";"104.94.42";;
39;"Mantingerveld";"767.76.53";;
43;"Berkenheuvel";"1031.27.97";215400;544353
44;"Nationaal Park Dwingelderveld";"1395.99.05";222453;535513
45;"Broekenlaar";"1.12.00";;
46;"Holtingerveld";"306.40.57";213768;536604
47;"Wittelterveld";"27.45.40";216161;538823
48;"Leggelderveld";"309.27.90";;
49;"Berghuizen";"29.57.07";;
50;"De Wieden (1)";"2112.96.47";;
51;"Hoge Land van Vollenhove";"10.31.90";;
52;"De Wieden (2)";"2103.52.01";;
53;"Meppelerdieplanden";"32.66.15";;
54;"Vreugderijkerwaard";"50.09.02";;
55;"De Belten *";"1.42.40";;
56;"Eerde";"539.84.28";228025;499688
57;"Rechterense Veld";"97.09.10";;
58;"Sprengenberg";"918.31.70";;
59;"Colckhof";"37.96.43";210014;495968
60;"Hazelbekke";"31.82.17";;
61;"Roderveld";"86.71.45";;
62;"Hakenberg";"65.84.20";;
63;"Egheria";"152.62.42";;
64;"Molterheurne";"5.86.70";;
65;"Elfterheurne";"40.90.05";;
66;"Hoge Venterink";"25.37.63";;
67;"Boerskotten";"130.14.22";;
68;"Grevenmaat";"15.29.84";;
69;"Duivelshof";"144.62.71";;
70;"Snippert";"73.67.50";;
71;"Haagse Bos";"48.38.30";;
72;"De Tip";"20.84.50";;
73;"Meyling *";"30.25.59";;
74;"Buurserzand";"376.51.42";;
75;"Stepelerveld";"3.06.50";;
76;"Witte Veen";"292.74.29";;
77;"Veluwemeerkust";"70.92.73";;
78;"Leuvenumse Bos";"836.85.80";;
79;"Leuvenhorst";"1430.06.35";;
80;"Oud Groevenbeek";"227.54.91";;
81;"Oldenaller";"448.00.45";;
82;"Vicary van Nijkerk *";"7.06.57";;
83;"Vragenderveld";"1.16.75";;
84;"Korenburgerveen";"237.28.16";;
85;"Mentink";"136.59.16";;
86;"Bonnink";"16.74.73";246440;445219
87;"Dottinkrade";"26.52.25";;
88;"Borkense Baan";"9.40.82";;
89;"Buskersbos";"17.73.15";;
90;"Bekendelle";"4.71.80";;
91;"Kotten";"19.43.58";;
92;"Wooldse Veen";"43.49.87";;
93;"Loohuis";"21.36.20";;
94;"Hassinkbos";"17.80.90";;
95;"Dorth";"97.03.36";;
96;"Gorsselse Heide";"20.72.14";;
97;"'t Walien";"220.97.45";;
98;"Velhorst";"303.50.67";;
99;"Grote Veld";"299.30.62";;
100;"'t Enzerinck";"32.43.96";;
101;"Hekenbroek";"66.81.68";;
102;"Hackfort";"733.48.08";;
103;"Bergherbos";"1833.32.90";;
104;"De Bijvanck";"86.77.98";208724;435769
105;"Loosdrechtse Plassen";"612.00.92";133962;466868
106;"De Nes";"14.02.41";;
107;"Botshol";"287.11.63";123797;474270
108;"Fort Nigtevecht";"17.29.59";;
109;"Tienhovense Plassen";"202.74.55";;
110;"Soesterveen";"7.97.30";;
111;"Op Hees";"66.90.00";;
112;"Grote Maat";"8.25.80";;
113;"Oud Kolland";"14.56.85";;
115;"Hoge Ginkel *";"1.33.45";;
116;"Kaapse Bossen";"423.00.34";;
117;"Blauwe Hel";"15.97.00";;
118;"Eemland";"394.68.17";;
119;"Naardermeer";"1078.90.08";135811;479134
120;"Ankeveense Plassen";"596.89.71";134915;475491
121;"Kortenhoefse Plassen";"362.51.55";;
122;"Einde Gooi";"155.05.69";;
123;"Bantam";"28.30.16";;
124;"Schaep en Burgh";"25.25.40";;
125;"Spanderswoud";"91.98.81";;
126;"Hilverbeek";"55.41.86";;
127;"Spiegelrust";"19.23.80";;
128;"Schoonoord";"7.07.25";;
129;"Gooilust";"96.94.44";;
130;"Corversbos";"95.48.23";;
131;"Cronebos";"45.81.40";;
132;"De Schorren";"6680.55.20";;
133;"Hoge Berg";"16.90.50";;
134;"Lage Land van Texel";"617.25.68";;
135;"Nijenburg";"291.33.71";;
136;"Zwanenwater";"604.19.80";108460;536615
137;"Amstelmeer";"19.69.30";;
138;"De Putten";"37.13.82";;
139;"Nationaal Park Zuid-Kennemerland";"964.55.62";;
140;"Koningshof";"202.77.75";;
142;"Wormer- en Jisperveld";"632.97.17";;
143;"IJdoorn";"71.29.80";;
144;"Nieuwkoopse Plassen";"1191.29.12";;
145;"Kamerikse Nessen";"12.39.95";;
146;"Vlietlanden";"82.23.00";;
147;"Eendenkooi Schipluiden";"4.96.48";82703;442579
148;"Aalkeetbuitenpolder";"88.62.79";;
149;"Voornes Duin";"808.40.15";;
150;"Quackgors";"44.70.00";;
151;"Meertje de Waal";"24.10.65";;
152;"Merrevliet";"10.46.30";;
153;"Kleine Beer";"11.52.45";;
154;"Kwade Hoek";"378.72.77";;
155;"Scheelhoek";"337.33.64";;
156;"Kop van Goeree";"42.05.94";;
157;"Springertduinen";"89.58.00";;
158;"Kersbergse en Achthovense Waarden *";"3.77.24";;
159;"Korendijkse Slikken";"497.98.04";;
160;"Beningerslikken";"281.59.00";;
161;"Tiengemeten";"1049.87.13";;
162;"Groot Koninkrijk";"109.73.00";;
163;"Goudplaat";"0.00.00";;
164;"Middelplaten";"286.39.60";;
165;"Kwistenburg";"21.40.85";;
166;"Katse Plaat";"7.24.20";;
167;"Bloemdijken van Zuid-Beveland";"138.50.63";;
168;"Zwaakse Weel";"26.40.40";;
169;"Inlaag 1887";"19.83.35";;
170;"Zuidgors";"162.86.70";;
171;"Jachtse Bos";"0.00.00";;
172;"Slot Haamstede";"348.61.27";;
173;"Slikken van de Heen";"176.76.90";;
174;"Dintelse Gorzen";"525.65.55";;
175;"Steenbergse Vliet";"10.76.85";;
176;"West-Brabantse Dijken";"3.58.90";;
177;"Vluchtheuvel";"8.33.79";;
178;"Lange Maten";"136.57.40";;
179;"Oude Buisse Heide";"200.91.65";;
180;"Wallsteijn";"111.88.76";;
181;"De Moeren";"73.85.07";;
182;"De Reten";"110.10.32";;
183;"Oosterheide";"105.85.00";;
184;"Chaamse Beek";"112.47.00";;
185;"Gansooiense Uiterwaard";"27.02.15";;
186;"Elshoutse Wielen";"88.25.05";;
187;"Baardwijkse Overlaat";"47.83.25";;
188;"Plantloon";"264.51.35";;
189;"Huis ter Heide";"806.67.42";;
190;"Loonse en Drunense Duinen";"2290.19.79";;
191;"Zwijnsbergen";"4.58.05";;
192;"Maasuiterwaarden";"248.09.46";157035;421315
195;"Rijskampen";"54.54.13";;
196;"Cartierheide";"172.20.61";;
197;"Dommeldal";"72.97.72";;
198;"Mirandolles Heike";"12.26.75";;
199;"Plateaux";"338.71.40";;
200;"'t Molentje";"28.13.83";;
201;"Kampina";"1317.12.21";;
202;"Oisterwijkse Bossen en Vennen";"402.71.07";;
203;"Mokerheide";"232.28.84";;
204;"Sint-Jansberg";"329.07.97";;
205;"De Zevenbergen";"7.42.90";;
206;"Rivierduintjes";"3.71.30";;
207;"Kruispeel";"42.24.95";;
208;"Wijffelterbroek";"56.15.67";;
209;"Stramprooierheide";"37.99.22";;
210;"Areven";"15.81.27";;
211;"Tungelerwallen";"34.66.73";;
212;"De Krang";"192.21.80";;
213;"IJzerenbos";"82.54.10";;
214;"'t Hout";"23.33.30";;
215;"Taterbos";"4.99.50";;
216;"Limbrichterbos";"91.69.00";;
217;"Grasbroek";"16.63.05";;
218;"Grensmaas";"234.73.96";;
219;"Geleenbeekdal";"142.70.15";;
220;"Schinveldse Bossen";"116.41.63";;
221;"Vrouwenbos";"1.71.80";;
222;"Spaubekerbos";"1.17.85";;
223;"Imstenraderbos";"7.91.30";;
224;"Groeve Sweijer";"15.16.39";;
225;"Genhoes";"149.85.55";;
226;"Noordal";"57.80.45";;
227;"Gulpdal";"0.72.65";;
228;"Berghofweide";"1.91.85";;
229;"Bovenste Bos";"32.36.20";;
230;"Geuldal";"73.47.33";;
