Change log of the NatMM Builders

Date        By        Builders            Change                                          Consequences
2006-06-22  Henk      formulier           Added position and type                         position and type should be added to formulier in db
2006-07-08  Alexey    evenement           Added externid                                  externid should be added to evenement in db
2006-07-13  Henk      payment_type        Added externid                                  externid should be added to payment_type in db
2006-07-17  Henk      deelnemers          Moved externid from medewerker to persoon       externid should be added to persoon and deelnemers in db
2006-07-18  Henk      pools,topics        Added menu-rubriek-topics-pools construct       construct should be added to all installations using NatMM and NMIntra
2006-07-20  Henk      media               Added externid                                  externid should be added to media in db
2006-07-28  Henk      pools               Added relation to persoon and pools             add relation pools-posrel-persoon and pools-posrel-dossier
2006-08-10  Henk      rubriek             Added isvisible                                 isvisible should be added to rubriek ( natmm/06.08.10.migrate.jsp)
2006-08-16  Henk      artikel             Added archive                                   archive should be added to artikel in db
2006-08-25  Henk      rubriek             Added issearchable                              issearchable should be added to rubriek in db
2006-09-04  Henk      persoon             Increased job and department field to 1024      change fields for persoon, deelnemers, medewerkers in existing dbs
2006-09-19  Henk      linklijst           Added multilanguage for naam and omschrijving   add multilanguage fields to existing dbs
2006-10-02  Henk      dossier             Added showdate                                  showdate should be added to dossier in db
2006-10-06  Henk      afdelingen          Added descendants                               descendants should be added to afdelingen in db
2006-10-16  Henk      kb_question         Added pos                                       pos should be added to kb_question in db
2006-10-26  Henk      medewerkers_update  Increased job and department field to 1024      change fields for medewerkers_update in existing dbs

